id,title,date,master,production,category,cast,notes,format,tags,url,encora,niceDate
,Cats,2015-09-12,Unknown,"Tecklenburg, Germany",video,"Maya Hakvoort (Grizabella), Reinhard Brussmann (Old Deuteronomy), Yngve Gasoy-Romdal (Gus), Rachel Marshall (Bombalurina), Armin Kahl (Munkustrap), Shane Dickson (Rum Tum Tugger), Caroline Frank (Demeter), Lucy Costelloe (Cassandra), Stephan Luethy (Skimbleshanks), Yngve Gasoy-Romdal (Bustopher Jones), Nils Haberstroh (Mungojerrie), Anna Carina Buchegger (Rumpleteazer), Leah Delos Santos (Jellylorum), Benjamin Eberling (Jennyanydots), David Pereira (Mr. Mistoffelees), Zoltan Fekete (Macavity), Andrew Hill (Alonzo), Yngve Gasoy-Romdal (Growltiger), David Pellerin (Bill Bailey), Fin Holzwart (Admetus), David Pellerin (Tumblebrutus), Brett Hibberd (Carbucketty), Celine Vogt (Jemima), Celine Vogt (Sillabub), Hakan T. Aslan (Pouncival), Marta Di Giulio (Electra), Zoltan Fekete (Plato), Leah Delos Santos (Griddlebone), David Pereira (Quaxo), Eleonora Talamini (Tantomile), Taryn Nelson (Victoria), Tobias Joch (Coricopat), Marthe Römer (Etcetera), Marco Herse Foti (Ensemble), Theano Makariou (Ensemble), Luisa Mancarella (Ensemble), Silja Schenk (Ensemble)",,,,MEGA,13257,"Sep 12, 2015"
,The Phantom of the Opera (Andrew Lloyd Webber),2015-09-07,Unknown,West End,audio,"John Owen-Jones (The Phantom of the Opera), Celinde Schoenmaker (Christine Daaé), Nadim Naaman (Raoul de Chagny)",,,,MEGA,13922,"Sep 7, 2015"
,Cats,2015-08-29,pro-shot,"Tecklenburg, Germany",video,"Maya Hakvoort (Grizabella), Reinhard Brussmann (Old Deuteronomy), Yngve Gasoy-Romdal (Gus), Sabine Hettlich (Bombalurina), Armin Kahl (Munkustrap), Shane Dickson (Rum Tum Tugger), Caroline Frank (Demeter), Lucy Costelloe (Cassandra), Stephan Luethy (Skimbleshanks), Yngve Gasoy-Romdal (Bustopher Jones), Nils Haberstroh (Mungojerrie), Anna Carina Buchegger (Rumpleteazer), Leah Delos Santos (Jellylorum), Benjamin Eberling (Jennyanydots), David Pereira (Mr. Mistoffelees), Zoltan Fekete (Macavity), Andrew Hill (Alonzo), Yngve Gasoy-Romdal (Growltiger), David Pellerin (Bill Bailey), David Pellerin (Tumblebrutus), Celine Vogt (Jemima), Hakan T. Aslan (Pouncival), Zoltan Fekete (Plato), Eleonora Talamini (Tantomile), Taryn Nelson (Victoria), Tobias Joch (Coricopat), Marthe Römer (Etcetera)",,,,MEGA,1000486,"Aug 29, 2015"
,Cats,2015-07-11,Unknown,Koblenz,audio,"Monika Maria Staszak (Grizabella), Jongmin Lim (Old Deuteronomy), Isabel Mascarenhas (Bombalurina), Klaus Philipp (Munkustrap), Adrian Becker (Rum Tum Tugger), Charlotte Irene Thompson (Demeter), Marcel Hoffmann (Skimbleshanks), Mario Mariano (Mungojerrie), Raphaela Crossey (Rumpleteazer), Irina Golovatskaia (Jennyanydots)",,,,MEGA,12791,"Jul 11, 2015"
,Cats,2015-04-15,Unknown,West End Revival,video,"Kerry Ellis (Grizabella), Nicholas Pound (Old Deuteronomy), Paul F Monaghan (Gus), Charlene Ford (Bombalurina), Adam Lake (u/s Munkustrap), Antoine Murray-Straughan (Rum Tum Tugger), Zizi Strallen (Demeter), Cassie Clare (Cassandra), Ross Finnie (Skimbleshanks), Paul F Monaghan (Bustopher Jones), Benjamin Yates (Mungojerrie), Dawn Williams (Rumpleteazer), Clare Rickard (Jellylorum), Laurie Scarth (Jennyanydots), Joseph Poulton (Mr. Mistoffelees), Cameron Ball (Macavity), Ryan Gover (Alonzo), Paul F Monaghan (Growltiger), Adam Salter (Bill Bailey), Cameron Ball (Admetus), Joel Morris (Carbucketty), Natasha Mould (Jemima), Stevie Hutchinson (Pouncival), Kathryn Barnes (Tantomile), Hannah Kenna Thomas (Victoria), Benjamin Mundy (Coricopat)",,,,MEGA,1000558,"Apr 15, 2015"
,Cats,2015-04-15,Unknown,West End Revival,video,"Kerry Ellis (Grizabella), Nicholas Pound (Old Deuteronomy), Paul F Monaghan (Gus), Charlene Ford (Bombalurina), Adam Lake (u/s Munkustrap), Antoine Murray-Straughan (Rum Tum Tugger), Zizi Strallen (Demeter), Cassie Clare (Cassandra), Ross Finnie (Skimbleshanks), Paul F Monaghan (Bustopher Jones), Benjamin Yates (Mungojerrie), Dawn Williams (Rumpleteazer), Clare Rickard (Jellylorum), Laurie Scarth (Jennyanydots), Joseph Poulton (Mr. Mistoffelees), Cameron Ball (Macavity), Ryan Gover (Alonzo), Paul F Monaghan (Growltiger), Adam Salter (Bill Bailey), Cameron Ball (Admetus), Joel Morris (Carbucketty), Natasha Mould (Jemima), Stevie Hutchinson (Pouncival), Kathryn Barnes (Tantomile), Hannah Kenna Thomas (Victoria), Benjamin Mundy (Coricopat)",,MTS,,MEGA,2008889,"Apr 15, 2015"
,Matilda the Musical,2015-04-11,iklachomzwaartekracht,West End,audio,Lottie Sicilia (Matilda),,,,MEGA,1110797,"Apr 11, 2015"
,Jesus Christ Superstar,2015-03-17,iklachomzwaartekracht,DeLaMar Theater Concert,audio,"Freek Bartels (Jesus Christ), Martin van der Starre (Judas Iscariot), Renée van Wegberg (Mary Magdalene), Marcel Jonker (Pontius Pilate), Marcel Jonker (Caiaphas), Kok-Hwa Lie (Annas), Tommie Christiaan (Peter), Tommie Christiaan (Simon Zealotes), Marcel Jonker (King Herod)",,MP3 (tracked and untracked),,MEGA,14434,"Mar 17, 2015"
,Jesus Christ Superstar,2015-03-16,iklachomzwaartekracht,DeLaMar Theater Concert,audio,"René van Kooten (Jesus Christ), Martin van der Starre (Judas Iscariot), Willemijn Verkaik (Mary Magdalene), Kok-Hwa Lie (Annas), Tommie Christiaan (Peter), Tommie Christiaan (Simon Zealotes), Marcel Jonker (King Herod)",,MP3 (tracked and untracked),,MEGA,14435,"Mar 16, 2015"
,Starlight Express,2015-03-15,Unknown,"Bochum, Germany",video,"Jeffrey Socia (Rusty), Trina Hill (Pearl), Robin Mills (u/s Greaseball), Adam Sheffield (u/s Greaseball), Toby Poole (Electra), David Moore (Poppa), Emma Prosser (Dinah), Carla Pullen (Buffy), Victoria Anderson (Ashley), MJ Dylan (Caboose), Duncan Leighton (Dustin), Paul Treacy (Flat Top), Dewayne Adams (Hip Hopper 1), Brett Shiels (Hip Hopper 2), Ciaran Rees (Hip Hopper 3), Kelly Downing (Joule), Melanie Brown (Wrench), Dean Coach (Krupp)",,,,MEGA,28602,"Mar 15, 2015"
,Cats,2015-02-01,Unknown,West End Revival,video,"Kerry Ellis (Grizabella), Nicholas Pound (Old Deuteronomy), Paul F Monaghan (Gus), Charlene Ford (Bombalurina), Callum Train (Munkustrap), Antoine Murray-Straughan (Rum Tum Tugger), Zizi Strallen (Demeter), Cassie Clare (Cassandra), Ross Finnie (Skimbleshanks), Paul F Monaghan (Bustopher Jones), Benjamin Yates (Mungojerrie), Dawn Williams (Rumpleteazer), Clare Rickard (Jellylorum), Laurie Scarth (Jennyanydots), Joseph Poulton (Mr. Mistoffelees), Cameron Ball (Macavity), Adam Lake (Alonzo), Paul F Monaghan (Growltiger), Adam Salter (Bill Bailey), Cameron Ball (Admetus), Adam Salter (Tumblebrutus), Joel Morris (Carbucketty), Natasha Mould (Jemima), Stevie Hutchinson (Pouncival), Kathryn Barnes (Tantomile), Hannah Kenna Thomas (Victoria), Benjamin Mundy (Coricopat)",,,,MEGA,1004353,"Feb 1, 2015"
,Starlight Express,2015-01-28,Unknown,"Bochum, Germany",video,"Kevin Köhler (Rusty), Trina Hill (Pearl), Matthew Goodgame (Greaseball), Paul Shipp (Electra), David Moore (Poppa), Emma Prosser (Dinah), Carla Pullen (Buffy), Sian Jones (s/w Ashley), Ben Draper (s/w Caboose), Toby Poole (u/s Dustin), Paul Treacy (Flat Top), Jason Gray (s/w Hip Hopper 1), Brett Shiels (Hip Hopper 2), Brad Corben (s/w Hip Hopper 3), Graham Harvey (Ruhrgold), Adam Bailey (Espresso), Craig Tyler (s/w Turnov), Jeffrey Socia (Bobo), Elliot Collins (Hashamoto), Kelly Downing (Joule), Dawn-Leigh Woods (Volta), Melanie Brown (Wrench), Cary Chennell (s/w Purse), Dean Coach (Krupp), Manuel Reckow (Trax 1), Etienne Vogel (Trax 2)",,,,MEGA,9748,"Jan 28, 2015"
,Wicked,2015-01-24,Giveemtheoldrazzledazzle,West End,audio,"Jennifer DiNoia (Elphaba), Sophie Linder-Lee (s/b Glinda), Jeremy Taylor (Fiyero), Martyn Ellis (The Wizard), Liza Sadovy (Madame Morrible), Katie Rowley Jones (Nessarose), Sam Lupton (Boq), Philip Childs (Doctor Dillamond)",,,,MEGA,14663,"Jan 24, 2015"
,Cats,2014-12-01,Unknown,West End Revival,video,"Nicole Scherzinger (Grizabella), Nicholas Pound (Old Deuteronomy), Paul F Monaghan (Gus), Charlene Ford (Bombalurina), Callum Train (Munkustrap), Antoine Murray-Straughan (Rum Tum Tugger), Zizi Strallen (Demeter), Cassie Clare (Cassandra), Ross Finnie (Skimbleshanks), Paul F Monaghan (Bustopher Jones), Benjamin Yates (Mungojerrie), Dawn Williams (Rumpleteazer), Clare Rickard (Jellylorum), Laurie Scarth (Jennyanydots), Joseph Poulton (Mr. Mistoffelees), Cameron Ball (Macavity), Adam Lake (Alonzo), Adam Salter (Bill Bailey), Cameron Ball (Admetus), Joel Morris (Carbucketty), Natasha Mould (Jemima), Stevie Hutchinson (Pouncival), Kathryn Barnes (Tantomile), Hannah Kenna Thomas (Victoria), Benjamin Mundy (Coricopat)",,,,MEGA,1124948,"Dec 1, 2014"
,The Phantom of the Opera (Andrew Lloyd Webber),2014-10-11,pheelmysoulonphire,West End,audio,"Gerónimo Rauch (The Phantom of the Opera), Emmi Christensson (alt Christine Daaé), Liam Tamne (Raoul de Chagny), Lara Martins (Carlotta Giudicelli), Andy Hockley (Monsieur Firmin), Martin Ball (Monsieur André), Shena Sanders (u/s Madame Giry), David Francis (u/s Ubaldo Piangi), Alicia Beck (Meg Giry)",,,,MEGA,15699,"Oct 11, 2014"
,Les Misérables,2014-10-02,juniper47,Second Broadway Revival,audio,"Ramin Karimloo (Jean Valjean), Earl Carpenter (Javert), Caissie Levy (Fantine), Samantha Hill (Cosette), Chris McCarrell (u/s Marius), Nikki M. James (Éponine), Cliff Saunders (Thénardier), Kyle Scatliffe (Enjolras), Christianne Tisdale (u/s Madame Thénardier), Gaten Matarazzo (Gavroche), Mckayla Twiggs (Little Cosette)",,MP3 (tracked),,MEGA,1110526,"Oct 2, 2014"
,Cats,2014-09-12,toomuchlove635,Fifth UK Tour,audio,"Sophia Ragavelas (Grizabella), Nicholas Pound (Old Deuteronomy), Callum Train (Munkustrap), Adam Lake (u/s Rum Tum Tugger), Zizi Strallen (Demeter), Benjamin Yates (Mungojerrie), Dawn Williams (Rumpleteazer), Francesca Whiffin (Jennyanydots), Cameron Ball (Macavity), Ryan Gover (u/s Alonzo), Adam Salter (Bill Bailey), Cameron Ball (Admetus), Adam Salter (Tumblebrutus), Natasha Mould (Jemima), Benjamin Mundy (Coricopat)",,,,MEGA,7507,"Sep 12, 2014"
,The Phantom of the Opera (Andrew Lloyd Webber),2014-08-19,Black Death,Broadway,audio,"Norm Lewis (The Phantom of the Opera), Sierra Boggess (Christine Daaé), Jeremy Hays (Raoul de Chagny), Michele McConnell (Carlotta Giudicelli), Tim Jerome (Monsieur Firmin), Laird Mackintosh (Monsieur André), Cristin J. Hubbard (u/s Madame Giry), Christian Šebek (Ubaldo Piangi), Polly Baird (Meg Giry)",,WAV,,MEGA,7347,"Aug 19, 2014"
,The Phantom of the Opera (Andrew Lloyd Webber),2014-08-07,Unknown,Broadway,audio,"Norm Lewis (The Phantom of the Opera), Sierra Boggess (Christine Daaé), Jeremy Hays (Raoul de Chagny), Michele McConnell (Carlotta Giudicelli), Tim Jerome (Monsieur Firmin), Laird Mackintosh (Monsieur André), Cristin J. Hubbard (Madame Giry), Christian Šebek (Ubaldo Piangi), Deanna Doyle (Meg Giry)",,,,MEGA,15228,"Aug 7, 2014"
,Les Misérables,2014-08-06,HBCFG,Second Broadway Revival,audio,"Aaron Walpole (u/s Jean Valjean), Adam Monley (t/r Javert), Caissie Levy (Fantine), Samantha Hill (Cosette), Andy Mientus (Marius), Nikki M. James (Éponine), Cliff Saunders (Thénardier), Kyle Scatliffe (Enjolras), Keala Settle (Madame Thénardier), Joshua Colley (Gavroche)",Missing Lovely Ladies and Drink With Me.,,,MEGA,11581,"Aug 6, 2014"
,Aladdin,2014-06-19,Unknown,Broadway,audio,"Adam Jacobs (Aladdin), Courtney Reed (Jasmine), James Monroe Iglehart (Genie), Jonathan Freeman (Jafar), Clifton Davis (Sultan), Don Darryl Rivera (Iago), Brian Gonzales (Babkak), Jonathan Schwartz (Omar), Brandon O'Neill (Kassim)",,,,MEGA,6785,"Jun 19, 2014"
,Heathers: The Musical,2014-05-25,SJ Bernly,Off-Broadway,video,"Barrett Wilbert Weed (Veronica Sawyer), Dan Domenech (u/s Jason ""J.D."" Dean), Charissa Hogeland (u/s Heather Chandler), Alice Lee (Heather Duke), Elle McLemore (Heather McNamara), Jon Eidson (Ram Sweeney), Evan Todd (Kurt Kelly), Katie Ladner (Martha Dunnstock), Michelle Duffy (Ms. Fleming), Anthony Crivello (Ram's Dad), Daniel Cooney (Kurt's Dad), Michelle Duffy (Veronica's Mom), Daniel Cooney (Veronica's Dad), Anthony Crivello (Big Bud Dean), Daniel Cooney (Principal Gowan), Anthony Crivello (Coach Ripper), Dustin Sullivan (Beleaguered Geek), AJ Meijer (Preppy Stud), Matthew Schatz (s/w Hipster Dork), Molly Hager (s/w New Wave Party Girl), Rachel Flynn (Stoner Chick), Cait Fairbanks (Young Republicanette), Matthew Schatz (s/w Officer McCord), AJ Meijer (Officer Milner)","A near perfect capture and the first known DVD of this shows Off-Broadway run. Barrett is incredibly talented: amazing vocals, acting and comedic timing. Dan and Charissa are both fantastic in their roles as well. The show is absolutely hysterical, much improved from the movie version. The first minute of Act One is blacked out, but the show is otherwise fully intact with no blackouts and only slight washout in a few wide shots. There is no obstruction, the video is steady, the sound is excellent, and its captured very well with the usual mix of wides, mediums, and close-ups. Its filmed in 16:9 and includes curtain call, encore, and playbill scans.",5.73 GB DVD / 24.20 GB Blu-Ray,,MEGA,65,"May 25, 2014"
,Cats,2014-04-19,SJ Bernly,La Mirada Theatre,video,"Kelli Provart (Grizabella), Clent Bowers (Old Deuteronomy), Neil Dale (Gus), Chryssie Whitehead (Bombalurina), Karl Warden (Munkustrap), Todrick Hall (Rum Tum Tugger), Nina Schreckengost (Demeter), Lauren Decierdo (Cassandra), Daniel Dawson (Skimbleshanks), Neil Dale (Bustopher Jones), Steven-Adam Agdeppa (Mungojerrie), Hannah Jean Simmons (Rumpleteazer), Madison Mitchell (Jellylorum), Colette Peters (Jennyanydots), Dane Wagner (Mr. Mistoffelees), Melvin Ramsey (Macavity), Brian Steven Shaw (Alonzo), Neil Dale (Growltiger), Melvin Ramsey (Admetus), Jake DuPree (Tumblebrutus), Autumn Crockett (Sillabub), Derek Lewis (Pouncival), Jenna Wright (Tantomile), Tiffany Reid (Victoria), Jamie Joseph (Coricopat)",,,,MEGA,26861,"Apr 19, 2014"
,Cats,2014-03-15,Forpluto,UK / European Tour,audio,"Joanna Ampil (Grizabella), Nicholas Pound (Old Deuteronomy), Charlene Ford (Bombalurina), Ben Palmer (Munkustrap), Filippo Strocchi (Rum Tum Tugger), Lily Frazer (Demeter), Cassie Clare (Cassandra), Ross Finnie (Skimbleshanks), Paul F Monaghan (Bustopher Jones), Benjamin Yates (Mungojerrie), Dawn Williams (Rumpleteazer), Clare Rickard (Jellylorum), Alice Redmond (Jennyanydots), Joseph Poulton (Mr. Mistoffelees), Cameron Ball (Macavity), Adam Lake (Alonzo), Paul F Monaghan (Growltiger), Adam Salter (Bill Bailey), Cameron Ball (Admetus), Joel Morris (Carbucketty), Natasha Mould (Jemima), Clare Rickard (Griddlebone), Paul F Monaghan (Asparagus), Joseph Poulton (Quaxo), Freya Rowley (Tantomile), Alicia Beck (Victoria), Richard Astbury (Coricopat)",,,,MEGA,2005030,"Mar 15, 2014"
,Chicago,2014-02-02,SJ Bernly,Seventh US National Tour,video,"Paige Davis (Roxie Hart), Terra C. MacLeod (Velma Kelly), John O'Hurley (Billy Flynn), Ron Orbach (Amos Hart), Carol Woods (Matron ""Mama"" Morton), Chris Newcomer (Mary Sunshine), Sherisse Springer (Liz), Naomi Kakuk (Hunyak), Laura Oldham (Annie), Jon-Paul Mateo (Fred Casely), Lindsay Roginski (June), Stephanie Maloney (Mona)",,DVD,,MEGA,6202,"Feb 2, 2014"
,The Phantom of the Opera (Andrew Lloyd Webber),2014-01-17,Unknown,Japanese Tour,audio,"Osamu Takai (The Phantom of the Opera), Haru Kasamatsu (Christine Daaé), Yoshihiro Kishi (Raoul de Chagny)",,,,MEGA,15878,"Jan 17, 2014"
,Cats,2013-12-30,Unknown,Second Mexico Tour,audio,Manuel Landeta (Old Deuteronomy),,,,MEGA,1124976,"Dec 30, 2013"
,Cats,2013-12-29,house-cam,Second Mexico Tour,video,"Natalia Sosa (Grizabella), Manuel Landeta (Old Deuteronomy), Jaime Rojas (e/c Old Deuteronomy)",,,,MEGA,26964,"Dec 29, 2013"
,First Date,2013-11-24,coffeeisthebesttrades,Broadway,audio,"Zachary Levi (Aaron), Krysta Rodriguez (Casey), Sara Chase (Grandma Ida), Sara Chase (Lauren), Bryce Ryness (Gabe), Kate Loprest (Allison), Kristoffer Cusick (Reggie), Kristoffer Cusick (Aaron's Future Son), Kristoffer Cusick (Edgy Rocker Guy), Blake Hammond (Friendly Therapist), Kate Loprest (Google), Bryce Ryness (Edgy British Guy), Sara Chase (Aaron's Mother), Blake Hammond (Waiter), Blake Hammond (Casey's Father)",,MP3 (untracked) - 87.9 MB,,MEGA,13764,"Nov 24, 2013"
,Cats,2013-07-04,toomuchlove635,Fifth UK Tour,audio,"Joanna Ampil (Grizabella), Nicholas Pound (Old Deuteronomy), Paul F Monaghan (Gus), Melissa James (Bombalurina), Ben Palmer (Munkustrap), Oliver Savile (Rum Tum Tugger), Lily Frazer (Demeter), Ross Finnie (Skimbleshanks), Paul F Monaghan (Bustopher Jones), Matthew Caputo (u/s Mungojerrie), Dawn Williams (Rumpleteazer), Clare Rickard (Jellylorum), Joseph Poulton (Mr. Mistoffelees), Cameron Ball (Macavity), James Darch (Alonzo), Paul F Monaghan (Growltiger), Ian Parsons (u/s Bill Bailey), Cameron Ball (Admetus), Ian Parsons (u/s Tumblebrutus), Richard Astbury (Coricopat)",,,,MEGA,7511,"Jul 4, 2013"
,Cats,2013-06-16,house-cam,German Tent Tour,video,"Anna Montanaro (Grizabella), Pieter Tredoux (Old Deuteronomy), Yngve Gasoy-Romdal (Gus), Nicky Milford (u/s Bombalurina), Robert David Marx (Munkustrap), Adam Lake (u/s Rum Tum Tugger), Maria Walter (Demeter), Jaymee Bellprat (Cassandra), Tommie Luyben (Skimbleshanks), Yngve Gasoy-Romdal (Bustopher Jones), Gavin Eden (Mungojerrie), Marleen De Vries (Rumpleteazer), Lillemor Spitzer (Jellylorum), Eva Maria Bender (Jennyanydots), Mark John Richardson (Mr. Mistoffelees), Csaba Farago (Macavity), Sam Murphy (Alonzo), Yngve Gasoy-Romdal (Growltiger), Daniel Therrien (Bill Bailey), Daniel Therrien (Tumblebrutus), Josh Andrews (Carbucketty), Jasmin Colangelo (Jemima), Csaba Farago (Plato), Minori Therrien (Tantomile), Libby Watts (Victoria), Dane Quixall (u/s Coricopat)",,,,MEGA,23939,"Jun 16, 2013"
,Cats,2013-05-31,pro-shot,Czech Republic,video,"Alena Antalová (Grizabella), Petr Gazdík (Old Deuteronomy), Ladislav Kolář (Gus), Svetlana Janotová (Bombalurina), Peter Pecha (Rum Tum Tugger), Ivana Vaňková (Demeter), Jiří Mach (Skimbleshanks), Milan Němec (Bustopher Jones), Robert Rozsochatecký (Mungojerrie), Jana Tesařová (Rumpleteazer), Barbora Remišová (Jellylorum), Lenka Janíková (Jennyanydots), Vaclav Púčik (Mr. Mistoffelees), Marek Kolář (Macavity), Ondřej Studénka (Carbucketty), Eliška Skálová (Jemima), Lukáš Vlček (Asparagus), Kristýna Przebindová (Victoria)",,,,MEGA,29878,"May 31, 2013"
,Cats,2013-05-16,Unknown,German Tent Tour,video,"Pieter Tredoux (Old Deuteronomy), Yngve Gasoy-Romdal (Gus), Robert David Marx (Munkustrap), Yngve Gasoy-Romdal (Bustopher Jones), Yngve Gasoy-Romdal (Growltiger)",,,,MEGA,1004360,"May 16, 2013"
,Anything Goes,2013-05-09,Unknown,Third US National Tour,audio,"Mackenzie Warren (u/s Reno Sweeney), Josh Franklin (Billy Crocker), Jeff Brooks (u/s Moonface Martin), Alex Finke (Hope Harcourt), Dennis Kelly (Elisha J. Whitney), Sandra Shipley (Mrs. Evangeline Harcourt), Edward Staudenmayer (Lord Evelyn Oakleigh), Joyce Chittick (Erma), Chuck Wagner (Captain), Bobby Pestka (Luke), Sean Watkins (u/s Purser), Marcus Shane (John), Jacqueline Burtney (Purity), Vanessa Sonon (Virtue), Courtney Rottenberger (Chastity), Marla McReynolds (Charity), Gary Lindemenn (Rev. Henry T. Dobson), Jeremy Benton (Fred), Ryan Steer (FBI Agent), Michael Milton (FBI Agent), Derek Hanson (Photographer), Jan Leigh Herndon (Old Lady in a Wheelchair), Jeremy Benton (Sailor Quartet), Aaron Umsted (Sailor Quartet), Gary Lindemenn (Sailor Quartet), Derek Hanson (Sailor Quartet), Kristie Kerwin (Ensemble), Ashley Peacock (Ensemble), Tony Neidenbach (Ensemble), Audrey Cardwell (Ensemble), Sara Andreas (Ensemble), Kristopher Thompson-Bolden (Ensemble)",,,,MEGA,22987,"May 9, 2013"
,The Phantom of the Opera (Andrew Lloyd Webber),2013-05-09,inallyourfantasiestrading,Broadway,video,"Peter Jöback (The Phantom of the Opera), Elizabeth Welch (u/s Christine Daaé), Kyle Barisich (Raoul de Chagny), Michele McConnell (Carlotta Giudicelli), Tim Jerome (Monsieur Firmin), Richard Poole (u/s Monsieur André), Ellen Harvey (Madame Giry), Christian Šebek (Ubaldo Piangi), Kara Klein (Meg Giry)",,,,MEGA,158,"May 9, 2013"
,Cats,2013-04-28,Unknown,German Tent Tour,video,"Minori Therrien (u/s Grizabella), Pieter Tredoux (Old Deuteronomy), Yngve Gasoy-Romdal (Gus), Schirin Kazemi (Bombalurina), Robert David Marx (Munkustrap), Nicky Wuchinger (Rum Tum Tugger), Maria Walter (Demeter), Jaymee Bellprat (Cassandra), Tommie Luyben (Skimbleshanks), Yngve Gasoy-Romdal (Bustopher Jones), Gavin Eden (Mungojerrie), Jasmin Colangelo (u/s Rumpleteazer), Lillemor Spitzer (Jellylorum), Leah Delos Santos (Jennyanydots), Mark John Richardson (Mr. Mistoffelees), Csaba Farago (Macavity), Sam Murphy (Alonzo), Yngve Gasoy-Romdal (Growltiger), Daniel Therrien (Bill Bailey), Daniel Therrien (Tumblebrutus), Bridie Rack (u/s Jemima), Josh Andrews (Pouncival), Csaba Farago (Plato), Nicky Milford (u/s Tantomile), Libby Watts (Victoria), Dane Quixall (u/s Coricopat)",,,,MEGA,1004361,"Apr 28, 2013"
,Tanz der Vampire,2013-04-07,Unknown,Berlin Revival,video,"Ivan Ozhogin (Graf von Krolock), Mercedesz Csampai (Sarah), Kevin Köhler (u/s Alfred), Veit Schäfermeier (Professor Abronsius), Jerzy Jeszke (Chagal), Linda Veenhuizen (u/s Magda), Marc Liebisch (Herbert von Krolock), Claudie Reinhard (u/s Rebecca), Stefan Büdenbender (Koukol), Dennis Jankowiak (Gesangssolist), Florian Soyka (Gesangssolist), Joseph Dockree (Weißer Vampir), Csaba Nagy (Schwarzer Vampir), Sandra Milly (Rote Stiefel Solo)",,,,MEGA,1114282,"Apr 7, 2013"
,Starlight Express,2013-03-31,Unknown,"Bochum, Germany",audio,"Daniel Ellison (u/s Rusty), Sian Jones (u/s Pearl), Andreas Wolfram (Greaseball), Paul Shipp (u/s Electra), Reginald Holden Jennings (u/s Poppa), Abigail Dever (Dinah), Carla Pullen (Buffy), Emma Prosser (Ashley), Gordon Gesatzki (Caboose)",,,,MEGA,28568,"Mar 31, 2013"
,Cats,2013-03-30,Unknown,Fifth UK Tour,video,"Joanna Ampil (Grizabella), Nicholas Pound (Old Deuteronomy), Paul F Monaghan (Gus), Melissa James (Bombalurina), Ben Palmer (Munkustrap), Oliver Savile (Rum Tum Tugger), Lily Frazer (Demeter), Jessica Buckby (Cassandra), Ross Finnie (Skimbleshanks), Paul F Monaghan (Bustopher Jones), Barnaby Thompson (Mungojerrie), Katie Warsop (Rumpleteazer), Clare Rickard (Jellylorum), Alice Redmond (Jennyanydots), Joseph Poulton (Mr. Mistoffelees), Paul F Monaghan (Growltiger), Joal Morris (Carbucketty), Dawn Williams (Jemima), Lizzi Franklin (Tantomile), Alicia Beck (Victoria)",,,,MEGA,13256,"Mar 30, 2013"
,Tanz der Vampire,2013-03-17,Unknown,Berlin Revival,video,"Ivan Ozhogin (Graf von Krolock), Mercedesz Csampai (Sarah), Michael Heller (Alfred), Dennis Jankowiak (Alfred), Sven Prüwer (Professor Abronsius), Jerzy Jeszke (Chagal), Linda Veenhuizen (u/s Magda), Anja Wendzel (Rebecca)",,VOB (with smalls),,MEGA,1116171,"Mar 17, 2013"
,Cats,2013-02-25,Unknown,Fifth UK Tour,audio,"Joanna Ampil (Grizabella), Nicholas Pound (Old Deuteronomy), Paul F Monaghan (Gus), Melissa James (Bombalurina), Ben Palmer (Munkustrap), Oliver Savile (Rum Tum Tugger), Lily Frazer (Demeter), Jessica Buckby (Cassandra), Ross Finnie (Skimbleshanks), Paul F Monaghan (Bustopher Jones), Barnaby Thompson (Mungojerrie), Dawn Williams (u/s Rumpleteazer), Clare Rickard (Jellylorum), Alice Redmond (Jennyanydots), Joseph Poulton (Mr. Mistoffelees), Cameron Ball (Macavity), James Darch (Alonzo), Paul F Monaghan (Growltiger), Will Lucas (Bill Bailey), Cameron Ball (Admetus), Will Lucas (Tumblebrutus), Joel Morris (Carbucketty), Lizzi Franklin (u/s Jemima), Collette Coleman (s/w Tantomile), Alicia Beck (Victoria), Richard Astbury (Coricopat)",,,,MEGA,13560,"Feb 25, 2013"
,Cats,2013-02-13,Unknown,Fifth UK Tour,audio,"Joanna Ampil (Grizabella), Nicholas Pound (Old Deuteronomy), Paul F Monaghan (Gus), Melissa James (Bombalurina), Ben Palmer (Munkustrap), Oliver Savile (Rum Tum Tugger), Lily Frazer (Demeter), Jessica Buckby (Cassandra), Ross Finnie (Skimbleshanks), Paul F Monaghan (Bustopher Jones), Barnaby Thompson (Mungojerrie), Katie Warsop (Rumpleteazer), Clare Rickard (Jellylorum), Alice Redmond (Jennyanydots), Joel Morris (u/s Mr. Mistoffelees), Cameron Ball (Macavity), James Darch (Alonzo), Paul F Monaghan (Growltiger), Will Lucas (Bill Bailey), Cameron Ball (Admetus), Will Lucas (Tumblebrutus), Matthew Caputo (s/w Carbucketty), Dawn Williams (Jemima), Lizzi Franklin (Tantomile), Alicia Beck (Victoria), Richard Astbury (Coricopat)",,,,MEGA,7513,"Feb 13, 2013"
