title,date,master,production,category,cast,notes,format,tags,url,encora
Hairspray,2006-01-31,Pigerty,Broadway,video,"Michelle Dowdy (u/s Tracy Turnblad), John Pinette (Edna Turnblad), Darlene Love (Motormouth Maybelle), Tracy Miller (Penny Pingleton), Leah Hocking (Velma Von Tussle), Becky Gulsvig (Amber Von Tussle), Stephen DeRosa (Wilbur Turnblad), Andrew Rannells (Link Larkin), Michael Cunio (u/s Corny Collins), Tevin Campbell (Seaweed J. Stubbs), Chloe Smith (Little Inez), Julie Halston (Prudy Pingleton), Kevin Meaney (Mr. Pinky), Cameron Adams (Brenda), Tyler Hanes (Fender), Anne Warren (Lou Ann), Lindsay Nicole Chambers (Tammy), Todd Michel Smith (IQ), Donna Vivino (Shelley), Bryan West (Sketch), Tyrick Wiltez Jones (Duane), Arbender Robinson (Gilbert), Julie Halston (Gym Teacher), Julie Halston (Matron), Terita R. Redd (Lorraine), Kevin Meaney (Harriman F. Spritzer), Carla J. Hargrove (Dynamite), Judine Somerville (Dynamite), Candice Marie Woods (Dynamite), Rashad Naylor (Thad), Kevin Meaney (Principal), Kevin Meaney (Guard)",,VOB with smalls (3.20GB),,,1604
Mean Girls,2018-08-22,TJonC,Broadway,audio,"Erika Henningsen (Cady Heron), Taylor Louderman (Regina George), Ashley De La Rosa (s/b Gretchen Wieners), Kate Rockwell (Karen Smith), Barrett Wilbert Weed (Janis Sarkisian), Brendon Stimson (u/s Damian Hubbard), Kyle Selig (Aaron Samuels), Cheech Manohar (Kevin Gnapoor), Kerry Butler (Mrs. Heron), Kerry Butler (Ms. Norbury), Kerry Butler (Mrs. George), Rick Younger (Principal Duvall), Gianna Yanelli (Ensemble), Zurin Villanueva (Ensemble), Kamille Upshaw (Ensemble), Becca Petersen (s/w Ensemble), Nikhil Saboo (Ensemble), Curtis Holland (Ensemble), Devon Hadsell (Ensemble), Riza Takahashi (Ensemble), Kevin Csolak (Ensemble), DeMarius R. Copes (Ensemble), Ben Cook (Ensemble), Collins Conley (Ensemble), Stephanie Lynn Bissonnette (Ensemble), Myles McHale (Ensemble), Patrick Garr (s/w Ensemble)",,M4A (untracked) - 97.1 MB,,,1697
The Phantom of the Opera (Andrew Lloyd Webber),2008-09-09,Unknown,West End,video,"Ramin Karimloo (The Phantom of the Opera), Gina Beck (Christine Daaé), Simon Bailey (Raoul de Chagny), Kate Radmilovic (Carlotta Giudicelli), Barry James (Monsieur Firmin), Gareth Snook (Monsieur André), Heather Jackson (Madame Giry), Rohan Tickell (Ubaldo Piangi), Tori Johns (Meg Giry)",,,,,2077
Waitress,2016-07-10,coffeeisthebesttrades,Broadway,audio,"Jessie Mueller (Jenna), Keala Settle (Becky), Stephanie Torns (u/s Dawn), Drew Gehling (Dr. Pomatter), Christopher Fitzgerald (Ogie), Eric Anderson (Cal), Dakin Matthews (Joe), Ryan Vasquez (u/s Earl), Charity Angél Dawson (Nurse Norma), Claire Keane (Lulu), Molly Hager (Mother), Henry Gottfried (s/w Father)",,,,,2200
Wicked,2017-05-28,PopularLikeMe,Second US National Tour (Munchkinland),audio,"Emily Schultheis (s/b Elphaba), Ginna Claire Mason (Glinda), Jeremy Woodard (Fiyero), Fred Applegate (The Wizard), Isabel Keating (Madame Morrible), Kristen Martin (Nessarose), Robin de Jesús (Boq), Harry Bouvy (Doctor Dillamond)",,MP3 (untracked) - 66.8 MB,,,2251
The Drowsy Chaperone,2007-05-13,house-cam,West End,video,"Bob Martin (Man in Chair), Summer Strallen (Janet Van De Graaff), Elaine Paige (The Drowsy Chaperone), John Partridge (Robert Martin), Joseph Alessi (Aldolpho)",,,,,2355
Beauty and the Beast (Disney),2003-00-00,house-cam,First UK Tour,video,"Dianne Pilkington (Belle), Alex Bourne (Beast), Earl Carpenter (Gaston), Richard Tate (Maurice), Stephen Matthews (Lumière), Barry James (Cogsworth), Marilyn Cutts (Mrs. Potts), Drew Varley (Le Fou)",,VOB without smalls (3.99GB),,,2381
The Hunchback of Notre Dame (Disney),2018-07-14,Unknown,Japan (Shiki Theatre Company),audio,"Akitaka Tanaka (Quasimodo), Ai Miyata (Esmeralda), Tatsuya Kawaguchi (Claude Frollo), Jin Sakuma (Captain Phoebus de Martin), Yoshitsugu Abe (Clopin Trouillefou)",,,,,2473
Oliver!,2009-07-16,cynicale,Fifth West End Revival,audio,"Rowan Atkinson (Fagin), Jay Bryce (u/s Bill Sikes), Jodie Prenger (Nancy)",,,,,2519
Breakfast at Tiffany's (Richard Greenberg),2013-03-09,Lanelle,Broadway,video,"Emilia Clarke (Holly Golightly), Cory Michael Smith (Fred), George Wendt (Joe Bell), James Yaegashi (I.Y. Yunioshi), Suzanne Bertish (Madame Spanella), John Rothman (Editor), John Rothman (Sid Arbuck), Tony Torn (Rusty Trawler), Lee Wilkof (OJ Berman)",,,,,2600
Les Misérables,2011-07-14,pro-shot,Madrid Revival,video,"Gerónimo Rauch (Jean Valjean), David Ordinas (u/s Javert), Virginia Carmona (Fantine), Talía del Val (Cosette), Guido Balzaretti (Marius), Lydia Fairén (Éponine), Enrique R. del Portal (Thénardier), Daniel Diges (Enjolras), Eva Diago (Madame Thénardier)",,,,,2701
Wicked,2001-12-14,soundboard,Workshop,audio,"Idina Menzel (Elphaba), Kristin Chenoweth (Glinda), David Burnham (Fiyero), Lenny Wolpe (The Wizard), Katherine Helmond (Madame Morrible), Amy Spanger (Nessarose), Gavin Creel (Boq), Steven Skybell (Doctor Dillamond)",,,,,2824
Cats,2016-08-06,Mystie,First Broadway Revival,audio,"Leona Lewis (Grizabella), Quentin Earl Darrington (Old Deuteronomy), Christopher Gurr (Gus), Christine Cornish (Bombalurina), Andy Huntington Jones (Munkustrap), Tyler Hanes (Rum Tum Tugger), Madison Mitchell (Demeter), Emily Pynenburg (Cassandra), Jeremy Davis (Skimbleshanks), Christopher Gurr (Bustopher Jones), Jess LeProtto (Mungojerrie), Shonica Gooden (Rumpleteazer), Sara Jean Ford (Jellylorum), Eloise Kropp (Jennyanydots), Ricky Ubeda (Mr. Mistoffelees), Daniel Gaymon (Macavity), Ahmad Simmons (Alonzo), Giuseppe Bausilio (Carbucketty), Arianna Rosario (Sillabub), Sharrod Williams (Pouncival), Lili Froehlich (Electra), Daniel Gaymon (Plato), Christopher Gurr (Peter), Emily Tate (Tantomile), Georgina Pazcoguin (Victoria), Corey John Snide (Coricopat)",,Tracked MP3 (112.8MB),,,2895
Cats,2014-12-27,Unknown,West End Revival,audio,"Nicole Scherzinger (Grizabella), Nicholas Pound (Old Deuteronomy), Paul F Monaghan (Gus), Charlene Ford (Bombalurina), Callum Train (Munkustrap), Antoine Murray-Straughan (Rum Tum Tugger), Zizi Strallen (Demeter), Cassie Clare (Cassandra), Ross Finnie (Skimbleshanks), Paul F Monaghan (Bustopher Jones), Benjamin Yates (Mungojerrie), Dawn Williams (Rumpleteazer), Clare Rickard (Jellylorum), Laurie Scarth (Jennyanydots), Joseph Poulton (Mr. Mistoffelees), Cameron Ball (Macavity), Adam Lake (Alonzo), Paul F Monaghan (Growltiger), Adam Salter (Bill Bailey), Cameron Ball (Admetus), Adam Salter (Tumblebrutus), Joel Morris (Carbucketty), Natasha Mould (Jemima), Kathryn Barnes (Tantomile), Hannah Kenna Thomas (Victoria), Benjamin Mundy (Coricopat)",,,,,2896
