title,date,master,production,category,cast,notes,format,tags,url,encora
Mean Girls,2018-07-25,sweeterthanadonut,Broadway,audio,"Tee Boyich (s/b Cady Heron), Taylor Louderman (Regina George), Ashley Park (Gretchen Wieners), Kate Rockwell (Karen Smith), Barrett Wilbert Weed (Janis Sarkisian), Grey Henson (Damian Hubbard), Kyle Selig (Aaron Samuels), Cheech Manohar (Kevin Gnapoor), Kerry Butler (Mrs. Heron), Kerry Butler (Ms. Norbury), Kerry Butler (Mrs. George), Rick Younger (Principal Duvall), Gianna Yanelli (Ensemble), Zurin Villanueva (Ensemble), Kamille Upshaw (Ensemble), Jonalyn Saxer (Ensemble), Nikhil Saboo (Ensemble), Curtis Holland (Ensemble), Becca Petersen (s/w Ensemble), Riza Takahashi (Ensemble), Kevin Csolak (Ensemble), DeMarius R. Copes (Ensemble), Ben Cook (Ensemble), Collins Conley (Ensemble), Stephanie Lynn Bissonnette (Ensemble), Myles McHale (Ensemble), Brendon Stimson (Ensemble)",,,,,4170
The Phantom of the Opera (Andrew Lloyd Webber),2010-07-13,Unknown,West End,audio,"David Shannon (The Phantom of the Opera), Gina Beck (Christine Daaé), Will Barratt (u/s Raoul de Chagny)",,,,,4237
La Cage aux Folles,2017-02-23,Toshos,UK Tour,audio,"John Partridge (Albin), Adrian Zmed (Georges), John Partridge (Zazá), Dougie Carter (Jean-Michel), Samson Ajewole (Jacob), Marti Webb (Jacqueline), Alexandra Robinson (Anne), Jon De Ville (Francis), George Daniels (Chantal), Paul F Monaghan (Edouard Dindon), Su Douglas (Mme. Renaud), Richard Leavey (Angelique), Micah Holmes (Mercedes), Matthew Ives (Bitelle), Liam Paul Jennings (Phaedra), Rachel Cumino (Colette), Su Douglas (Marie), Jayne Quinn (Babette), Jordan Livesey (Hannah), Luke Byrne (Rochelle), Paul F Monaghan (Renaud)",,Untracked M4A - 143.7 MB,,,4280
Starlight Express,2011-05-22,Unknown,"Bochum, Germany",audio,"Kevin Köhler (Rusty), Carla Pullen (Pearl), Ernest Marchain (Greaseball), Joe Ryan (Electra), David Moore (Poppa), Georgina Hagen (Dinah), Camilla Hardy (Buffy), Emma Katie Adcock (Ashley), Marcel Brauneis (Caboose), Marlon Moore (Dustin)",,,,,4340
Starlight Express,2014-07-29,Toshos,"Bochum, Germany",audio,"Kevin Köhler (Rusty), Abigail Dever (u/s Pearl), Adam Sheffield (u/s Greaseball), Ben Draper (u/s Electra), David Moore (Poppa), Sian Jones (u/s Dinah), Carla Pullen (Buffy), Emma Prosser (Ashley), Andy Prosser (Caboose), Duncan Leighton (Dustin), Paul Treacy (Flat Top), Dewayne Adams (Hip Hopper 1), Craig Tyler (u/s Hip Hopper 2), Ciaran Rees (Hip Hopper 3), Graham Harvey (Ruhrgold), Adam Bailey (Espresso), Richard Leavey (Turnov), Jeffrey Socia (Bobo), Elliot Collins (Hashamoto), Victoria Anderson (Joule), Dawn-Leigh Woods (Volta), Melanie Brown (Wrench), Brad Corben (u/s Purse), Dean Coach (Krupp), Etienne Vogel (Trax 1), Manuel Reckow (Trax 2)",,,,,4353
Wicked,2014-11-29,itriedtomelt,First US National Tour (Emerald City),audio,"Emmy Raver-Lampman (s/b Elphaba), Chandra Lee Schwartz (Glinda), Kyle Brown (u/s Fiyero), Tim Kazurinsky (The Wizard), Kim Zimmer (Madame Morrible), Jenny Florkowski (Nessarose), Etai Benson (Boq), Tom Flynn (Doctor Dillamond), Raymond Joel Matsamura (Chistery), Tess Ferrell (s/w Midwife), Marina Lazzaretto (Witch's Mother), Kevin McMahon (Witch's Father), Kevin McMahon (Ozian Official), Trevor Ryan Krahl (Ensemble), Timothy A. Fitz-Gerald (Ensemble), Stephanie Torns (Ensemble), Sheila Karls (Ensemble), Shanon Mari Mills (Ensemble), Rick Desloge (Ensemble), Nirine S. Brown (Ensemble), Lauren Boyd (Ensemble), Jonathan McGill (Ensemble), Dina Bennett (Ensemble), Daniel Switzer (Ensemble), Cassie Okenka (Ensemble), Adam Perry (Ensemble)",,,,,4580
Cats,2015-10-24,mortifer,West End Revival,audio,"Beverley Knight (Grizabella), Adam Linstead (Old Deuteronomy), Paul F Monaghan (Gus), Megan Armstrong (u/s Bombalurina), Matt Krzan (Munkustrap), Marcquelle Ward (Rum Tum Tugger), Anna Woodside (Demeter), Danielle Cato (Cassandra), Evan James (Skimbleshanks), Paul F Monaghan (Bustopher Jones), Harry Francis (Mungojerrie), Georgie Leatherland (Rumpleteazer), Clare Rickard (Jellylorum), Jane Quinn (Jennyanydots), Mark John Richardson (Mr. Mistoffelees), Javier Cid (Macavity), Jack Butterworth (Alonzo), Paul F Monaghan (Growltiger), Jon-Scott Clark (Bill Bailey), Javier Cid (Admetus), Luke Cinque-White (Carbucketty), Tarryn Gee (Jemima), Jordan Shaw (Pouncival), Mark John Richardson (Quaxo), Gabrielle Cocca (Tantomile), Jack Butterworth (Rumpus Cat), Hannah Kenna Thomas (Victoria), James Titchener (Coricopat)",,Tracked MP3 - 166.5 MB,,,4701
Wicked,2011-03-26,Unknown,First US National Tour (Emerald City),audio,"Jackie Burns (Elphaba), Emily Ferranti (u/s Glinda), Colin Hanlon (Fiyero), Mark Jacoby (The Wizard), Randy Danson (Madame Morrible), Stefanie Brown (Nessarose), Adam Sanford (u/s Boq), Paul Slade Smith (Doctor Dillamond)",,,,,4986
Wicked,2017-04-23,julienjolras,International Tour,audio,"Jodie Steele (alt Elphaba), Carly Anderson (Glinda), Bradley Jaden (Fiyero), Steven Pinder (The Wizard), Kim Ismay (Madame Morrible), Emily Shaw (Nessarose), Iddon Jones (Boq), Steven Pinder (Doctor Dillamond)",,MP3 (untracked) - 309 MB,,,5079
Beetlejuice,2018-11-18,fright-of-their-lives,Pre-Broadway / Washington D.C.,audio,"Alex Brightman (Beetlejuice), Sophia Anne Caruso (Lydia Deetz), Kerry Butler (Barbara Maitland), Rob McClure (Adam Maitland), Adam Dannheisser (Charles Deetz), Leslie Rodriguez Kritzer (Delia Deetz), Kelvin Moon Loh (Otho), Danny Rutigliano (Maxie Dean), Jill Abramovitz (Maxine Dean), Jill Abramovitz (Juno), Dana Steingold (Girl Scout)",,Untracked MP3 (260.4MB),,,5263
Cats,2012-09-30,Wenubis,German Tent Tour,audio,"Eva Maria Bender (u/s Grizabella), Pieter Tredoux (Old Deuteronomy), Yngve Gasoy-Romdal (Gus), Nicky Milford (u/s Bombalurina), Shane Dickson (u/s Munkustrap), Dominik Hees (Rum Tum Tugger), Maria Walter (Demeter), Jaymee Bellprat (Cassandra), Thomas Klotz (Skimbleshanks), Yngve Gasoy-Romdal (Bustopher Jones), Gavin Eden (Mungojerrie), Jo Lucy Rackham (Rumpleteazer), Lillemor Spitzer (Jellylorum), Leah Delos Santos (u/s Jennyanydots), Jack Allen (u/s Mr. Mistoffelees), Ross McDermott (u/s Macavity), Sam Murphy (Alonzo), Yngve Gasoy-Romdal (Growltiger), Daniel Therrien (Bill Bailey), Daniel Therrien (Tumblebrutus), Veronika Enders (u/s Sillabub), Dane Quixall (Pouncival), Josh Andrews (Pouncival), Jasmin Colangelo (Electra), Ross McDermott (u/s Plato), Minori Therrien (Tantomile), Libby Watts (Victoria), Christian De Varas (Coricopat)","Heavy bass at some points, but still listenable, and better than my Zanna Don't audio. Also includes a selfmade video of the tourtent. Gavin Eden (Mungojerrie) forgets a few lines.",Tracked MP3 - 226 MB,,,5297
Cats,2013-01-22,Unknown,German Tent Tour,audio,"Masha Karell (Grizabella), Eric Lee Johnson (u/s Old Deuteronomy), Yngve Gasoy-Romdal (Gus), Schirin Kazemi (Bombalurina), Robert David Marx (Munkustrap), Dominik Hees (Rum Tum Tugger), Maria Walter (Demeter), Jaymee Bellprat (Cassandra), Thomas Klotz (Skimbleshanks), Yngve Gasoy-Romdal (Bustopher Jones), Gavin Eden (Mungojerrie), Jo Lucy Rackham (Rumpleteazer), Lillemor Spitzer (Jellylorum), Eva Maria Bender (Jennyanydots), Mark John Richardson (Mr. Mistoffelees), Csaba Farago (Macavity), Sam Murphy (Alonzo), Yngve Gasoy-Romdal (Growltiger), Adam Lake (u/s Bill Bailey), Adam Lake (u/s Tumblebrutus), Theano Makariou (Sillabub), Josh Andrews (Pouncival), Jasmin Colangelo (Electra), Csaba Farago (Plato), Lillemor Spitzer (Griddlebone), Minori Therrien (Tantomile), Libby Watts (Victoria), Christian De Varas (Coricopat)",,Tracked MP3 - 183.5 MB,,,5299
Cats,2013-02-24,Unknown,German Tent Tour,audio,"Robert David Marx (Munkustrap), Adam Lake (u/s Rum Tum Tugger), Bridie Rack (Demeter), Dane Quixall (u/s Skimbleshanks), Gavin Eden (Mungojerrie), Jo Lucy Rackham (Rumpleteazer), Leah Delos Santos (Jellylorum), Nicky Milford (Jennyanydots), Jack Allen (Mr. Mistoffelees)",,Tracked MP3 - 181.2 MB,,,5301
Cats,2012-12-08,Unknown,German Tent Tour,audio,"Eva Maria Bender (alt Grizabella), Pieter Tredoux (Old Deuteronomy), Shane Dickson (u/s Gus), Schirin Kazemi (Bombalurina), Ross McDermot (u/s Munkustrap), Adam Lake (u/s Rum Tum Tugger), Maria Walter (Demeter), Thomas Klotz (Skimbleshanks), Shane Dickson (u/s Bustopher Jones), Dane Quixall (u/s Mungojerrie), Lillemor Spitzer (Jellylorum), Leah Delos Santos (u/s Jennyanydots), Gavin Eden (u/s Mr. Mistoffelees), Lillemor Spitzer (Griddlebone)",,Untracked MP3 (188.1MB),,,5302
Matilda the Musical,2015-01-01,SJ Bernly,Broadway,video,"Tori Feinstein (Matilda), Christopher Sieber (Miss Trunchbull), Alison Luff (Miss Honey), Lesli Margherita (Mrs. Wormwood), Matt Harrington (Mr. Wormwood), Alex Brightman (Michael Wormwood), Celia Mei Rubin (Mrs. Phelps), Phillip Spaeth (Rudolpho), Mitchell Sink (Bruce), Grace Capeless (Lavender), Marcus D'Angelo (alt Nigel), Beatrice Tulchin (Amanda), Ted Wilson (alt Eric), Analise Scarpaci (alt Alice), Ava DeMary (Hortensia), Chris Sumpter (Tommy), Jennifer Bowles (Acrobat), Ben Thompson (Escapologist), Matt Meigs (Doctor), Sean Montgomery (Entertainer), Sean Montgomery (Sergei)",,,,,5312
Mean Girls,2018-09-09,StarCuffedJeans,Broadway,audio,"Erika Henningsen (Cady Heron), Taylor Louderman (Regina George), Ashley Park (Gretchen Wieners), Kate Rockwell (Karen Smith), Gianna Yanelli (u/s Janis Sarkisian), DeMarius R. Copes (u/s Damian Hubbard), Kyle Selig (Aaron Samuels), Cheech Manohar (Kevin Gnapoor), Kerry Butler (Mrs. Heron), Kerry Butler (Ms. Norbury), Kerry Butler (Mrs. George), Rick Younger (Principal Duvall), Brittany Nicholas (s/w Ensemble), Zurin Villanueva (Ensemble), Kamille Upshaw (Ensemble), Jonalyn Saxer (Ensemble), Nikhil Saboo (Ensemble), Curtis Holland (Ensemble), Devon Hadsell (Ensemble), Becca Petersen (s/w Ensemble), Kevin Csolak (Ensemble), Chris Medlin (s/w Ensemble), Patrick Garr (s/w Ensemble), Collins Conley (Ensemble), Stephanie Lynn Bissonnette (Ensemble), Myles McHale (Ensemble), Iain Young (s/w Ensemble)",,MP3 (untracked) - 95.7 MB,,,5477
It Shoulda Been You,2015-04-11,NYCG8R,Broadway,video,"Sierra Boggess (Rebecca Steinberg), Tyne Daly (Judy Steinberg), Lisa Howard (Jenny Steinberg), Harriet Harris (Georgette Howard), Adam Heller (Uncle Morty), Chip Zien (Murray Steinberg), Edward Hibbert (Albert), Adam Heller (Walt), David Burtka (Brian Howard), Montego Glover (Annie Shepard), Anne L. Nathan (Aunt Sheila), Anne L. Nathan (Mimsy), Josh Grisetti (Marty Kauffman), Michael X. Martin (George Howard), Nick Spangler (Greg Madison)",,,,,5616
The Phantom of the Opera (Andrew Lloyd Webber),1986-09-27,Unknown,West End,audio,"Michael Crawford (The Phantom of the Opera), Sarah Brightman (Christine Daaé), Steve Barton (Raoul de Chagny), Rosemary Ashe (Carlotta Giudicelli), John Savident (Monsieur Firmin), David Firth (Monsieur André), Mary Millar (Madame Giry), John Aron (Ubaldo Piangi), Janet Devenish (Meg Giry)",,,,,5715
The Phantom of the Opera (Andrew Lloyd Webber),1986-10-16,Unknown,West End,audio,"Michael Crawford (The Phantom of the Opera), Sarah Brightman (Christine Daaé), Steve Barton (Raoul de Chagny), Rosemary Ashe (Carlotta Giudicelli), John Savident (Monsieur Firmin), David Firth (Monsieur André), Mary Millar (Madame Giry), John Aron (Ubaldo Piangi), Janet Devenish (Meg Giry)",,,,,5716
Cats,2007-06-29,Unknown,Dutch Tour,video,"Pia Douwes (Grizabella), Marco Bakker (Old Deuteronomy), Paul Donkers (Gus), Anouk Van Nes (Bombalurina), Roberto de Groot (Munkustrap), Stanley Burleson (Rum Tum Tugger), Suzanne Heijne (Demeter), Caroline Beuth (Cassandra), Marcel Visscher (Skimbleshanks), Paul Donkers (Bustopher Jones), Mark van Beelen (Mungojerrie), Marjolein Teepen (Rumpleteazer), Annemieke Van Der Veer (Jellylorum), Marleen van der Loo (Jennyanydots), Mark John Richardson (Mr. Mistoffelees), Pierre Alexandre (Macavity), Merlijn Wolsink (Alonzo), Paul Donkers (Growltiger), Daymon Montaigne Jones (Bill Bailey), Pierre Alexandre (Admetus), Daymon Montaigne Jones (Tumblebrutus), Cindy Belliot (Jemima), João Paulo De Almeida (Pouncival), Veerle Casteleyn (Electra), Hannah van Meurs (Tantomile), Anique Bosch (Victoria), Michael Macalintal (Coricopat)",,,,,5743
Evita,2012-08-13,NYCG8R,First Broadway Revival,video,"Christina DeCicco (alt Eva Perón), Ricky Martin (Che), Michael Cerveris (Perón), Max von Essen (Magaldi), Rachel Potter (Perón's Mistress), Colin Cunliffe (Lover), Colin Cunliffe (Evita's Family), Margot de La Barre (Evita's Family), Bradley Dean (Evita's Family), George Lee Andrews (Priest), Ashley Amber (Ensemble), Eric L. Christian (Ensemble), Kristine Covillo (Ensemble), Bradley Dean (Ensemble)",,,,,5784
Love Never Dies,2018-09-25,SunsetBlvd79,First US National Tour,video,"Bronson Norris Murphy (The Phantom), Meghan Picerno (Christine Daaé), Sean Seamus Thompson (Raoul de Chagny), Karen Mason (Madame Giry), Mary Michael Patterson (Meg Giry), Katrina Kemp (Fleck), Richard Koons (Squelch), Stephen Petrovich (Gangle), Jake Heston Miller (Gustave)",,,,,5797
A Chorus Line,2006-09-30,Pigerty,First Broadway Revival,video,"Michael Berresse (Zach), Charlotte d'Amboise (Cassie), Tyler Hanes (Larry), Mara Davi (Maggie), Yuka Takara (Connie), Jessica Lee Goldyn (Val), Brad Anderson (Don), Alisan Porter (Bebe), Tony Yazbeck (Al), James T. Lane (Richie), Michael Paternostro (Greg), Natalie Cortez (Diana), Jeffrey Schecter (Mike), Heather Parcells (Judy), Deidre Goodwin (Sheila), Ken Alan (Bobby), Chryssie Whitehead (Kristine), Jason Tam (Paul), Paul McGill (Mark), Michelle Aravena (Tricia), E Clayton Cornelious (Butch), Mike Cannon (Tom), David Baum (Roy), Nadine Isenegger (Lois), Grant Turner (Frank), Lorin Latarro (Vicki)",,DVD,,,5835
Cats,1996-04-02,Unknown,West End,audio,"Rosemarie Ford (Grizabella), John Rownsley (Old Deuteronomy), Vanessa Leagh-Hicks (Bombalurina), David Malek (Munkustrap), Richard Lloyd-King (Rum Tum Tugger), Michele Hooper (Demeter), Christian Storm (u/s Mungojerrie), Zoe Smith (Rumpleteazer), Thomas Pathon (Mr. Mistoffelees)",,Tracked MP3 - 71.3 MB,,,6048
RENT,2008-02-21,Unknown,Broadway,video,"Harley Jay (Mark Cohen), Jay Wilkinson (u/s Roger Davis), Tamyra Gray (Mimi Márquez), Nicolette Hart (Maureen Johnson), Michael McElroy (Tom Collins), Justin Johnston (Angel Dumott Schunard), Rodney Hicks (Benjamin Coffin III), Kenna J. Ramsey (Joanne Jefferson), Andrea Goss (Alexi Darling), Marcus Paul James (Mr. Jefferson), Maia Nkenge Wilson (Mrs. Jefferson), Peter Matthew Smith (u/s Mr. Grey), Caren Lyn Tackett (Mrs. Cohen), Peter Matthew Smith (u/s Gordon), Shaun Earl (Paul), Andy Señor Jr. (Steve), Maia Nkenge Wilson (Seasons of Love Soloist #1), Marcus Paul James (Seasons of Love Soloist #2), Andrea Goss (Others), Caren Lyn Tackett (Others), Shaun Earl (Others), Andy Señor Jr. (Others)",,"VOB with smalls, 4.15 GB",,,6137
Shrek: The Musical,2008-09-21,SunsetBlvd79,5th Avenue Theatre,video,"Brian d'Arcy James (Shrek), Sutton Foster (Princess Fiona), Christopher Sieber (Lord Farquaad), Chester Gregory (Donkey), John Tartaglia (Pinocchio), Kecia Lewis-Evans (Dragon), John Tartaglia (Magic Mirror), Haven Burton (Gingy), Haven Burton (Sugar Plum Fairy), Jennifer Simard (Wicked Witch), John Tartaglia (Dragon Puppeteer), Jennifer Simard (Mother)",,VOB with smalls (4.11GB),,,6160
Spring Awakening,2008-08-15,SunsetBlvd79,First US National Tour,video,"Kyle Riabko (Melchior Gabor), Christy Altomare (Wendla Bergmann), Blake Bashoff (Moritz Stiefel), Steffi DiDomenicantonio (Ilse Neumann), Sarah Hunt (Martha Bessell), Andy Mientus (Hanschen Rilow), Anthony Lee Medina (Otto Lämmermeier), Matt Shingledecker (Georg Zirschnitz), Kimiko Glenn (Thea), Gabrielle Garza (Anna Wheelan), Ben Moss (Ernst Robel), Angela Reed (The Adult Women), Henry Stram (The Adult Men)",,,,,6171
Chicago,2014-02-02,SJ Bernly,Seventh US National Tour,video,"Paige Davis (Roxie Hart), Terra C. MacLeod (Velma Kelly), John O'Hurley (Billy Flynn), Ron Orbach (Amos Hart), Carol Woods (Matron ""Mama"" Morton), Chris Newcomer (Mary Sunshine), Sherisse Springer (Liz), Naomi Kakuk (Hunyak), Laura Oldham (Annie), Jon-Paul Mateo (Fred Casely), Lindsay Roginski (June), Stephanie Maloney (Mona)",,DVD,,,6202
Aladdin,2014-06-19,Unknown,Broadway,audio,"Adam Jacobs (Aladdin), Courtney Reed (Jasmine), James Monroe Iglehart (Genie), Jonathan Freeman (Jafar), Clifton Davis (Sultan), Don Darryl Rivera (Iago), Brian Gonzales (Babkak), Jonathan Schwartz (Omar), Brandon O'Neill (Kassim)",,,,,6785
Cats,2004-09-11,Unknown,Düsseldorf,audio,"Maaike Schuurmans (u/s Grizabella), John Wiseman (Old Deuteronomy), Rachel Marshall (Bombalurina), Mathias Sanders (Munkustrap), Gido Schimanski (u/s Rum Tum Tugger), Abigail Rosser (Demeter), Constanze Möricke (Cassandra), Stephan Zenker (u/s Skimbleshanks), Christian Schleicher (u/s Bustopher Jones), Christian De Varas (u/s Mungojerrie), Selma Rudalics (Rumpleteazer), Francesca Taverni (u/s Jellylorum), Coleen Besset (Jennyanydots), Jason Scerri (u/s Mr. Mistoffelees), Dominik Hofbauer (Alonzo), Christian Schleicher (u/s Growltiger), Daymon Montaigne Jones (Tumblebrutus), Marides Lazo (Sillabub), Drew McOnie (Pouncival), Francesca Taverni (u/s Griddlebone), Christian Schleicher (u/s Asparagus), Patricia Meeden (Tantomile), Bridie Rack (u/s Victoria)",,Tracked MP3 - 129.6 MB,,,6925
The Phantom of the Opera (Andrew Lloyd Webber),2006-04-06,musicinthestars,Third US National Tour (Music Box),video,"Gary Mauer (The Phantom of the Opera), Elizabeth Southard (alt Christine Daaé), Jim Weitzer (Raoul de Chagny), Kim Stengel (Carlotta Giudicelli), John Jellison (Monsieur Firmin), D.C. Anderson (Monsieur André), Patti Davidson-Gorbea (Madame Giry), John Whitney (Ubaldo Piangi), Kate Wray (Meg Giry)",,,,,6938
Hamilton,2019-02-16,euphorianger,Broadway,audio,"Michael Luwoye (Alexander Hamilton), Denée Benton (Eliza Hamilton), Gregory Treco (s/b Aaron Burr), Mandy Gonzalez (Angelica Schuyler), Carvens Lissaint (George Washington), James Monroe Iglehart (Marquis de Lafayette), James Monroe Iglehart (Thomas Jefferson), Wallace Smith (Hercules Mulligan), Wallace Smith (James Madison), Anthony Lee Medina (John Laurens), Anthony Lee Medina (Philip Hamilton), Joanna A Jones (Peggy Schuyler), Joanna A Jones (Maria Reynolds), Euan Morton (King George III), Marc delaCruz (Philip Schuyler), Marc delaCruz (James Reynolds), Marc delaCruz (Doctor), Thayne Jasperson (Samuel Seabury), Neil Haskell (Charles Lee), Mikey Winslow (s/w George Eacker), Johanna Moise (s/w Ensemble), Lauren Boyd (Ensemble), Karla Puno Garcia (s/w Ensemble), Raven Thomas (Ensemble), Zelig Williams (Ensemble), Eddy Lee (s/w Ensemble)",,Untracked M4A (289.6MB),,,7016
Jersey Boys,2008-11-08,SunsetBlvd79,First US National Tour,video,"Joseph Leo Bwarie (Frankie Valli), Jeremy Kushnier (Tommy Devito), Steve Gouveia (Nick Massi), Andrew Rannells (Bob Gaudio), Jonathan Hadley (Bob Crewe), Joseph Siravo (Gyp DeCarlo), Sarah Darling (Hal Miller)",,,,,7316
The Phantom of the Opera (Andrew Lloyd Webber),2014-08-19,Black Death,Broadway,audio,"Norm Lewis (The Phantom of the Opera), Sierra Boggess (Christine Daaé), Jeremy Hays (Raoul de Chagny), Michele McConnell (Carlotta Giudicelli), Tim Jerome (Monsieur Firmin), Laird Mackintosh (Monsieur André), Cristin J. Hubbard (u/s Madame Giry), Christian Šebek (Ubaldo Piangi), Polly Baird (Meg Giry)",,WAV,,,7347
Cats,2001-05-01,Unknown,West End,audio,"Chrissie Hammond (Grizabella), Mark McKerracher (Old Deuteronomy), Gareth Snook (Gus), Julie Barnes (Bombalurina), David Ashley (Munkustrap), Tom Lucas (Rum Tum Tugger), Barbara King (Demeter), Candice Evans (Cassandra), Ross Finnie (Skimbleshanks), Gareth Snook (Bustopher Jones), Matthew Cross (Mungojerrie), Marilyn Wulff (Rumpleteazer), Rebecca Lock (Jellylorum), Kerry Washington (Jennyanydots), Campbell McKenzie (Mr. Mistoffelees), Philip Michael (Macavity), Sebastian Rose (Alonzo), Gareth Snook (Growltiger), Nick Crossley (Bill Bailey), Philip Michael (Admetus), Nick Crossley (Tumblebrutus), Mark John Richardson (Carbucketty), Lindsey Wise (Jemima), Julie Carlton (Electra), Rachel Mooney (Tantomile), Emma Kerslake (Victoria), Chris Houston (Coricopat)",,Tracked MP3 - 124.6 MB,,,7440
Cats,2014-09-12,toomuchlove635,Fifth UK Tour,audio,"Sophia Ragavelas (Grizabella), Nicholas Pound (Old Deuteronomy), Callum Train (Munkustrap), Adam Lake (u/s Rum Tum Tugger), Zizi Strallen (Demeter), Benjamin Yates (Mungojerrie), Dawn Williams (Rumpleteazer), Francesca Whiffin (Jennyanydots), Cameron Ball (Macavity), Ryan Gover (u/s Alonzo), Adam Salter (Bill Bailey), Cameron Ball (Admetus), Adam Salter (Tumblebrutus), Natasha Mould (Jemima), Benjamin Mundy (Coricopat)",,,,,7507
Cats,2013-07-04,toomuchlove635,Fifth UK Tour,audio,"Joanna Ampil (Grizabella), Nicholas Pound (Old Deuteronomy), Paul F Monaghan (Gus), Melissa James (Bombalurina), Ben Palmer (Munkustrap), Oliver Savile (Rum Tum Tugger), Lily Frazer (Demeter), Ross Finnie (Skimbleshanks), Paul F Monaghan (Bustopher Jones), Matthew Caputo (u/s Mungojerrie), Dawn Williams (Rumpleteazer), Clare Rickard (Jellylorum), Joseph Poulton (Mr. Mistoffelees), Cameron Ball (Macavity), James Darch (Alonzo), Paul F Monaghan (Growltiger), Ian Parsons (u/s Bill Bailey), Cameron Ball (Admetus), Ian Parsons (u/s Tumblebrutus), Richard Astbury (Coricopat)",,,,,7511
Cats,2013-02-13,Unknown,Fifth UK Tour,audio,"Joanna Ampil (Grizabella), Nicholas Pound (Old Deuteronomy), Paul F Monaghan (Gus), Melissa James (Bombalurina), Ben Palmer (Munkustrap), Oliver Savile (Rum Tum Tugger), Lily Frazer (Demeter), Jessica Buckby (Cassandra), Ross Finnie (Skimbleshanks), Paul F Monaghan (Bustopher Jones), Barnaby Thompson (Mungojerrie), Katie Warsop (Rumpleteazer), Clare Rickard (Jellylorum), Alice Redmond (Jennyanydots), Joel Morris (u/s Mr. Mistoffelees), Cameron Ball (Macavity), James Darch (Alonzo), Paul F Monaghan (Growltiger), Will Lucas (Bill Bailey), Cameron Ball (Admetus), Will Lucas (Tumblebrutus), Matthew Caputo (s/w Carbucketty), Dawn Williams (Jemima), Lizzi Franklin (Tantomile), Alicia Beck (Victoria), Richard Astbury (Coricopat)",,,,,7513
Mean Girls,2019-03-10,taylouderman,Broadway,audio,"Erika Henningsen (Cady Heron), Taylor Louderman (Regina George), Ashley Park (Gretchen Wieners), Kate Rockwell (Karen Smith), Tee Boyich (s/b Janis Sarkisian), Grey Henson (Damian Hubbard), Kyle Selig (Aaron Samuels), Cheech Manohar (Kevin Gnapoor), Jennifer Simard (Mrs. Heron), Jennifer Simard (Ms. Norbury), Jennifer Simard (Mrs. George), Rick Younger (Principal Duvall), Gianna Yanelli (Ensemble), Bria Jené Williams (Ensemble), Kamille Upshaw (Ensemble), Jonalyn Saxer (Ensemble), Nikhil Saboo (Ensemble), Curtis Holland (Ensemble), Devon Hadsell (Ensemble), Riza Takahashi (Ensemble), Kevin Csolak (Ensemble), DeMarius R. Copes (Ensemble), Ben Cook (Ensemble), Collins Conley (Ensemble), Ixchel Cuellar (s/w Ensemble), Myles McHale (Ensemble), Brendon Stimson (Ensemble)",,MP3 (untracked) - 63.6 MB,,,7729
Wicked,2008-01-28,Unknown,Japan,video,"Megumi Hamada (Elphaba), Asako Tomada (u/s Glinda), Li Tao (Fiyero), Kurihara Hideo (u/s The Wizard), Mori Izumi (Madame Morrible), Yamamoto Takae (Nessarose), Takayuki Ito (Boq), Takemi Ryoma (Doctor Dillamond), Tamaki Endo (Midwife), Akane Mao (Witch's Mother), Kazunari Shirakura (u/s Witch's Father), Kazunari Shirakura (u/s Ozian Official)",,VOB with smalls (7.91GB),,,7855
Starlight Express,2017-09-16,shoeroom,Off-West End Workshop,audio,"George Ure (Rusty), Christina Bennington (Pearl), Oliver Tompsett (Greaseball), Liam Tamne (Electra), Mica Paris (Momma), Natalie McQueen (Dinah), Sabrina Aloueche (Belle the Sleeping Car), Laila Zaidi (Tassita), Patrick Sullivan (Caboose), Anthony Selwyn (Dustin)",,MP3 - 98.8 GB,,,8129
Tanz der Vampire,2012-03-24,Unknown,Berlin Revival,video,"Florian Soyka (Graf von Krolock), Amelie Dobler (Sarah), Anton Zetterholm (Alfred), Veit Schäfermeier (Professor Abronsius), Kai Hüsgen (Chagal), Goele de Raedt (Magda), Marc Liebisch (Herbert von Krolock), Barbara Raunegger (Rebecca), Stefan Büdenbender (Koukol), Christopher Busse (Gesangssolist), Kevin Köhler (Gesangssolist), Pierre Damen (Weißer Vampir), Csaba Nagy (Schwarzer Vampir), Paula Ferreira (Rote Stiefel Solo)",,VOB with smalls (4.20GB),,,8226
Hamilton,2018-11-00,NYCG8R,West End,video,"Sifiso Mazibuko (s/b Alexander Hamilton), Rachelle Ann Go (Eliza Hamilton), Giles Terera (Aaron Burr), Rachel John (Angelica Schuyler), Obioma Ugoala (George Washington), Jason Pennycooke (Marquis de Lafayette), Jason Pennycooke (Thomas Jefferson), Tarinn Callender (Hercules Mulligan), Tarinn Callender (James Madison), Cleve September (John Laurens), Cleve September (Philip Hamilton), Christine Allado (Peggy Schuyler), Christine Allado (Maria Reynolds), Michael Jibson (King George III), Leah Hill (Ensemble)",,VOB with smalls (4.22GB),,,8409
